#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
-16.544379,200,0.185068
-1.757396,65,0.205586
-8.982249,200,0.267353
-11.420118,200,0.326555
-0.12426,99,0.356102
-1.769231,93,0.382471
0.994083,2,0.38274
-5.47929,200,0.442134
-1.331361,69,0.46317
0.911243,6,0.465202
-4.934911,185,0.519768
-17.715976,200,0.577804
0.532544,14,0.583436
-7.544379,200,0.644024
0.994083,2,0.644317
0.982249,3,0.645332
-17.224852,200,0.702897
-5.053254,185,0.755074
-2.692308,104,0.782656
-1.591716,76,0.803035
-9.621302,200,0.86054
-7.443787,200,0.916026
-7.556213,200,0.97057
-16.207101,200,1.02597
-13.627219,200,1.082006
-17.213018,200,1.148633
-10.029586,200,1.206602
-1.230769,103,1.236394
-0.982249,38,1.248796
-0.100592,27,1.256758
1.0,1,1.25692
-7.053254,200,1.314293
-12.023669,200,1.372097
-10.142012,200,1.428367
-3.923077,99,1.456416
0.189349,26,1.464048
-8.538462,200,1.521552
-5.710059,149,1.566722
-8.337278,136,1.61058
0.982249,3,1.611684
-7.828402,102,1.644433
0.828402,9,1.646743
-15.337278,200,1.705419
-3.822485,109,1.738769
-2.260355,87,1.766719
-2.828402,103,1.796652
-2.739645,84,1.820887
-3.83432,100,1.849362
0.994083,2,1.851374
-2.218935,44,1.864134
0.994083,2,1.864414
-2.142012,73,1.88589
0.745562,11,1.890122
0.757396,10,1.893908
-6.769231,87,1.920283
-3.201183,51,1.935842
-6.715976,200,1.993768
-7.508876,200,2.051109
0.940828,5,2.052404
-3.230769,130,2.091206
-2.414201,77,2.116155
-6.455621,200,2.179865
-0.763314,28,2.187881
-0.065089,88,2.213563
-3.183432,52,2.228781
0.639053,14,2.233124
-10.627219,197,2.299443
0.674556,11,2.302905
0.591716,14,2.307443
0.982249,3,2.308549
-1.011834,55,2.325547
0.289941,16,2.330174
0.83432,9,2.333445
0.538462,13,2.336911
0.83432,8,2.339222
0.923077,6,2.34147
-7.088757,200,2.40373
-0.698225,26,2.412046
0.035503,19,2.417599
0.964497,4,2.418756
-4.426036,158,2.467144
0.982249,3,2.468256
-1.284024,45,2.481631
-0.04142,21,2.488378
0.053254,32,2.498952
-1.343195,70,2.520091
0.094675,18,2.525829
0.798817,9,2.528271
0.786982,19,2.534659
-0.0,19,2.539301
-2.378698,102,2.570491
0.56213,16,2.575061
0.289941,16,2.582135
0.544379,15,2.586475
-3.887574,136,2.625657
-0.16568,27,2.632467
0.964497,4,2.634315
-11.485207,200,2.692019
-6.775148,125,2.732345
-0.928994,61,2.752078
