#{"t_start": 1764105416.99119, "env_id": "Gym-Gridworlds/CliffWalk-4x12-v0"}
r,l,t
-100.458333,3,0.50651
-100.916667,5,0.50738
-102.020833,9,0.508756
-101.395833,7,0.509807
-102.875,12,0.511634
-100.479167,3,0.512335
-109.333333,37,0.519072
-100.229167,2,0.519401
-100.229167,2,0.519712
-100.0,1,0.5199
-100.916667,5,0.520655
-103.833333,17,0.523139
-102.479167,12,0.524919
-100.0,1,0.52513
-100.458333,3,0.525632
-100.229167,2,0.525956
-102.4375,11,0.527554
-103.604167,18,0.53029
-105.625,24,0.533752
-100.229167,2,0.534066
-100.0,1,0.534227
-100.6875,4,0.53482
-107.083333,30,0.539106
-100.229167,2,0.539412
-102.395833,11,0.54097
-100.229167,2,0.541289
-108.0,31,0.545675
-104.854167,21,0.549122
-113.4375,55,0.55728
-100.0,1,0.557468
-100.6875,4,0.558081
-100.6875,4,0.5587
-100.6875,4,0.559345
-107.375,35,0.564945
-105.4375,26,0.568792
-103.666667,16,0.57117
-100.0,1,0.571344
-100.916667,5,0.572137
-100.0,1,0.572306
-100.458333,3,0.572795
-100.229167,2,0.573108
-115.395833,67,0.582834
-100.479167,3,0.583306
-112.3125,61,0.592101
-108.666667,37,0.597491
-110.6875,48,0.604515
-100.229167,2,0.60483
-100.0,1,0.604997
-104.25,18,0.607589
-100.0,1,0.607756
-101.208333,6,0.608661
-100.0,1,0.608843
-100.458333,3,0.609291
-100.0,1,0.609455
-110.479167,43,0.615908
-100.6875,4,0.616555
-100.6875,4,0.617202
-100.458333,3,0.61769
-100.229167,2,0.618025
-100.0,1,0.618202
-101.416667,7,0.619307
-100.229167,2,0.619644
-108.020833,33,0.624729
-100.0,1,0.624908
-100.9375,5,0.625688
-100.229167,2,0.626012
-100.9375,5,0.626796
-103.520833,15,0.629173
-100.0,1,0.629425
-101.145833,6,0.630453
-121.75,86,0.643846
-102.895833,12,0.645636
-101.166667,6,0.646727
-101.9375,9,0.64814
-100.0,1,0.648321
-103.0625,14,0.650446
-104.1875,18,0.653158
-102.1875,10,0.654697
-101.458333,7,0.655787
-100.479167,3,0.656609
-100.0,1,0.656873
-100.0,1,0.657321
-100.458333,3,0.658123
-100.458333,3,0.658722
-108.166667,34,0.664477
-101.145833,6,0.665404
